CUST_ID,TENURE,BALANCE_interval,PURCHASES_interval,ONEOFF_PURCHASES_interval,INSTALLMENTS_PURCHASES_interval,CASH_ADVANCE_interval,CREDIT_LIMIT_interval,PAYMENTS_interval,MINIMUM_PAYMENTS_interval,PURCHASES_TRX_interval,CASH_ADVANCE_TRX_interval,BALANCE_FREQUENCY_interval,PURCHASES_FREQUENCY_interval,ONEOFF_PURCHASES_FREQUENCY_interval,PURCHASES_INSTALLMENTS_FREQUENCY_interval,CASH_ADVANCE_FREQUENCY_interval,PRC_FULL_PAYMENT_interval,Cluster
C10001,12.0,1,1,0,1,0,2,1,1,1,0,9,2,0,1,0,0,0
C10002,12.0,0,0,0,0,5,5,0,3,0,1,10,0,0,0,3,3,1
C10003,12.0,3,2,2,0,0,5,2,2,3,0,10,10,10,0,0,0,5
C10004,12.0,3,3,3,0,1,5,0,1,1,1,7,1,1,0,1,0,0
C10005,12.0,2,1,1,0,0,3,2,1,1,0,10,1,1,0,0,0,0
C10006,12.0,3,3,0,3,0,3,3,3,2,0,10,7,0,6,0,0,2
C10007,12.0,2,5,5,2,0,6,5,1,7,0,10,10,10,10,0,10,5
C10008,12.0,3,1,0,1,0,3,2,2,3,0,10,10,0,10,0,0,2
C10009,12.0,3,2,2,1,0,5,2,1,1,0,10,4,1,3,0,0,0
C10010,12.0,1,3,3,0,0,6,3,1,1,0,6,2,2,0,0,0,0
C10011,12.0,3,2,0,2,0,3,3,3,3,0,10,10,0,10,0,0,2
C10012,12.0,2,3,3,0,0,3,2,1,2,0,9,3,3,0,0,0,0
C10013,12.0,3,0,3,2,0,3,2,1,5,0,10,10,3,10,0,3,5
C10014,12.0,2,3,1,3,0,5,3,1,5,0,10,8,2,8,0,1,2
C10015,12.0,3,0,0,0,1,3,2,2,0,1,10,0,0,0,1,0,1
C10016,12.0,5,3,0,3,3,5,3,3,3,1,10,5,0,5,2,0,4
C10017,8.0,3,0,0,0,3,3,1,1,0,1,9,0,0,0,3,0,1
C10018,12.0,1,2,0,2,0,3,1,1,2,0,5,5,0,4,0,3,3
C10019,12.0,3,2,1,1,0,6,3,2,2,0,10,7,1,6,0,0,0
C10020,12.0,0,1,0,1,0,0,3,6,3,0,10,10,0,10,0,0,2
C10021,12.0,3,1,0,1,0,3,1,6,2,0,10,7,0,7,0,0,0
C10022,12.0,5,5,5,1,1,6,3,3,7,2,10,10,10,10,4,0,5
C10023,12.0,1,2,0,2,0,3,3,1,4,0,7,10,0,10,0,0,2
C10024,12.0,0,0,0,2,5,5,5,3,3,3,9,10,1,10,4,0,4
C10025,11.0,5,0,0,0,2,5,3,3,0,1,10,0,0,0,4,0,1
C10026,12.0,1,1,0,1,0,3,1,1,3,0,10,10,0,10,0,0,2
C10027,12.0,3,1,1,0,1,3,2,2,1,1,10,2,2,0,3,0,1
C10028,12.0,1,1,0,1,0,2,1,1,3,0,10,10,0,10,0,0,2
C10029,12.0,5,1,1,1,3,6,3,3,2,4,10,7,2,5,9,0,4
C10030,12.0,1,1,0,1,0,5,1,1,1,0,10,5,0,5,0,0,0
C10031,12.0,6,0,3,3,0,6,0,0,7,2,10,10,2,10,5,0,4
C10032,12.0,3,3,1,2,1,5,2,1,0,1,10,10,1,10,2,0,2
C10033,12.0,5,1,1,0,3,6,3,3,1,1,10,1,1,0,2,0,1
C10034,12.0,1,2,2,0,0,3,1,1,3,0,10,10,10,0,0,3,5
C10035,12.0,0,2,0,2,0,6,5,6,3,0,8,10,0,10,0,0,2
C10036,12.0,3,0,0,0,1,3,1,2,0,1,10,0,0,0,1,0,1
C10037,11.0,5,0,0,0,5,5,3,3,0,3,10,0,0,0,8,0,1
C10038,12.0,0,3,3,2,3,0,3,3,0,2,10,8,5,8,4,0,4
C10039,12.0,5,1,1,0,3,5,3,3,1,3,10,1,1,0,4,0,1
C10040,12.0,3,2,2,0,5,5,6,2,2,2,5,1,1,0,4,4,4
C10041,12.0,2,0,0,0,0,3,0,1,0,1,8,0,0,0,3,2,1
C10043,12.0,2,3,2,2,3,3,3,1,5,3,10,6,5,4,3,2,4
C10044,12.0,0,1,1,0,0,0,2,3,1,0,10,1,1,0,0,0,0
C10045,12.0,3,0,0,0,3,3,1,1,0,1,10,0,0,0,1,0,1
C10046,12.0,5,3,1,3,0,5,3,3,4,0,10,10,4,10,0,0,5
C10047,12.0,3,1,1,1,1,3,0,5,1,1,10,4,1,4,2,0,0
C10048,8.0,1,1,0,1,3,3,1,1,1,1,5,4,0,3,2,0,3
C10049,12.0,0,0,0,0,3,0,0,3,0,2,10,0,0,0,5,0,1
C10050,12.0,1,3,3,2,0,0,3,1,7,0,10,10,7,10,0,10,5
C10051,12.0,2,2,2,0,2,0,2,1,1,1,10,2,2,0,1,1,0
